name,org,"rule, 1"
30n20b8.mp,2.093,2.308
30n20b8.mp,2.252,2.297
30n20b8.mp,2.235,2.828
30n20b8.mp,1.278,1.273
30n20b8.mp,1.864,1.767
academictimetablesmall.mp,261.45,3184.723
academictimetablesmall.mp,425.043,1376.136
academictimetablesmall.mp,193.742,316.603
academictimetablesmall.mp,1262.863,3536.851
academictimetablesmall.mp,1195.152,802.42
atlanta-ip.mp,2245.283,787.377
atlanta-ip.mp,1476.572,600.95
atlanta-ip.mp,985.192,643.425
atlanta-ip.mp,532.279,453.65
atlanta-ip.mp,1050.459,1220.34
bab2.mp,2754.555,3607.559
bab2.mp,2198.805,3607.018
bab2.mp,3604.603,2597.216
bab2.mp,1604.544,1256.339
bab2.mp,3610.513,749.976
bab6.mp,2777.084,2306.488
bab6.mp,3601.97,451.834
bab6.mp,1019.744,1035.444
bab6.mp,654.468,1288.256
bab6.mp,632.887,1326.331
bnatt400.mp,188.938,277.854
bnatt400.mp,221.842,183.125
bnatt400.mp,163.956,280.573
bnatt400.mp,217.598,306.583
bnatt400.mp,131.458,272.953
bnatt500.mp,431.44,609.094
bnatt500.mp,756.739,689.901
bnatt500.mp,451.117,751.746
bnatt500.mp,630.966,958.508
bnatt500.mp,684.034,485.597
brazil3.mp,408.14,218.435
brazil3.mp,314.678,84.272
brazil3.mp,211.735,372.743
brazil3.mp,433.875,171.372
brazil3.mp,170.402,329.731
co-100.mp,1999.525,1186.724
co-100.mp,2995.421,1134.141
co-100.mp,3601.525,1428.557
co-100.mp,894.535,457.458
co-100.mp,647.845,318.462
cryptanalysiskb128n5obj14.mp,2780.962,959.843
cryptanalysiskb128n5obj14.mp,2543.138,1424.354
cryptanalysiskb128n5obj14.mp,3601.458,1111.902
cryptanalysiskb128n5obj14.mp,1437.196,1128.772
cryptanalysiskb128n5obj14.mp,1194.583,1140.003
cryptanalysiskb128n5obj16.mp,3023.751,1153.627
cryptanalysiskb128n5obj16.mp,2768.197,1112.148
cryptanalysiskb128n5obj16.mp,2633.261,1188.251
cryptanalysiskb128n5obj16.mp,1678.23,883.506
cryptanalysiskb128n5obj16.mp,1460.487,2283.126
csched007.mp,118.451,130.123
csched007.mp,124.257,128.251
csched007.mp,148.489,152.881
csched007.mp,131.186,120.836
csched007.mp,115.163,113.748
csched008.mp,203.414,214.007
csched008.mp,361.818,365.516
csched008.mp,392.319,392.225
csched008.mp,745.224,99.483
csched008.mp,183.834,291.671
decomp2.mp,0.581,0.438
decomp2.mp,0.831,0.436
decomp2.mp,0.722,0.426
decomp2.mp,0.647,0.38
decomp2.mp,0.858,0.464
drayage-100-23.mp,0.216,0.203
drayage-100-23.mp,0.2,0.188
drayage-100-23.mp,0.205,0.188
drayage-100-23.mp,0.189,0.18
drayage-100-23.mp,0.206,0.188
drayage-25-23.mp,2.791,2.524
drayage-25-23.mp,3.873,3.044
drayage-25-23.mp,3.011,2.576
drayage-25-23.mp,3.25,2.94
drayage-25-23.mp,2.867,2.585
dws008-01.mp,2357.7,2275.073
