30n20b8.mp,248,248
academictimetablesmall.mp,10911,3343
atlanta-ip.mp,16545,11066
bab2.mp,64485,67674
bab6.mp,3356,2153
bnatt400.mp,39568,46186
bnatt500.mp,128219,83733
brazil3.mp,10931,6778
co-100.mp,615808,3968
cryptanalysiskb128n5obj14.mp,519,423
cryptanalysiskb128n5obj16.mp,628,533
csched007.mp,146458,146458
csched008.mp,845503,845503
decomp2.mp,1,1
drayage-100-23.mp,1,1
drayage-25-23.mp,1,1
dws008-01.mp,433711,510088
enlight_hard.mp,0,0
fastxgemm-n2r6s0t2.mp,21778,21778
fhnw-binpack4-4.mp,172294,84466
fhnw-binpack4-48.mp,10358,5607
germanrr.mp,45168,79827
gfd-schedulen180f7d50m30k18.mp,14222,14973
gmu-35-40.mp,155624,27699
gmu-35-50.mp,153143,54190
highschool1-aigio.mp,3967,1
hypothyroid-k1.mp,1,1
irish-electricity.mp,11818,17077
istanbul-no-cutoff.mp,128,106
k1mushroom.mp,1,1
lectsched-5-obj.mp,9356,6006
mcsched.mp,11414,10226
mzzv11.mp,1,1
mzzv42z.mp,1,1
n2seq36q.mp,1,1
neos-2657525-crna.mp,22605925,41462019
neos-2746589-doon.mp,1861,1387
neos-3216931-puriri.mp,3343,3768
neos-3656078-kumeu.mp,135707,78828
neos-3988577-wolgan.mp,3075,3017
neos-4387871-tavua.mp,58796,60241
neos-4413714-turia.mp,1,1
neos-4532248-waihi.mp,2603,934
neos-4647030-tutaki.mp,14943,223
neos-4722843-widden.mp,2736,1938
neos-4738912-atrato.mp,7761,8332
neos-5104907-jarama.mp,118,149
neos-5195221-niemur.mp,38526,44275
neos-631710.mp,16073,9784
neos-662469.mp,95,127
neos-787933.mp,1,1
neos-827175.mp,1,1
neos-957323.mp,1,1
neos-960392.mp,1,1
neos8.mp,1,1
net12.mp,4448,2833
netdiversion.mp,38,57
ns1116954.mp,1,1399
nu25-pr12.mp,33,33
nursesched-medium-hint03.mp,12588,297
nursesched-sprint02.mp,1,1
peg-solitaire-a3.mp,9500,1
physiciansched3-3.mp,8033,7499
physiciansched6-2.mp,1,1
piperout-08.mp,1,1
piperout-27.mp,1,1
proteindesign121hz512p9.mp,46226,42954
proteindesign122trx11p8.mp,12042,85960
radiationm18-12-05.mp,48150,84611
rail01.mp,37,55
rail02.mp,132,62
rd-rplusc-21.mp,76944,23200
rocI-4-11.mp,80351,16115
rocII-5-11.mp,234409,231217
roi2alpha3n4.mp,20492,896
roi5alpha10n8.mp,156291,4615
roll3000.mp,10306,10390
s100.mp,12838,14798
s250r10.mp,124971,469956
satellites2-40.mp,1,1
satellites2-60-fs.mp,306,744
sct2.mp,10545,13915
sing326.mp,24734,17923
sing44.mp,16124,18182
splice1k1.mp,15107,1
supportcase18.mp,349328,5661
supportcase22.mp,224,239
supportcase33.mp,6497,5511
supportcase6.mp,7177,7177
supportcase7.mp,1,1
swath1.mp,1413,1413
swath3.mp,12575,13394
tbfp-network.mp,95,95
traininstance2.mp,619146,326573
traininstance6.mp,76860,70634
triptim1.mp,1,1
uccase9.mp,5658,5658
uct-subprob.mp,441205,320599
wachplan.mp,34835,34835
