name,original,reduced,Seed
30n20b8.mp,2.093,2.308,0
30n20b8.mp,2.252,2.297,1
30n20b8.mp,2.235,2.828,12
30n20b8.mp,1.278,1.273,123
30n20b8.mp,1.864,1.767,1234
academictimetablesmall.mp,261.45,3184.723,0
academictimetablesmall.mp,425.043,1376.136,1
academictimetablesmall.mp,193.742,616.603,12
academictimetablesmall.mp,1262.863,3536.851,123
academictimetablesmall.mp,1195.152,802.42,1234
atlanta-ip.mp,2245.283,787.377,0
atlanta-ip.mp,1476.572,600.95,1
atlanta-ip.mp,1085.192,643.425,12
atlanta-ip.mp,532.279,453.65,123
atlanta-ip.mp,1050.459,1220.34,1234
bab2.mp,2754.555,3607.559,0
bab2.mp,2198.805,3607.018,1
bab2.mp,3604.603,2597.216,12
bab2.mp,1604.544,1256.339,123
bab2.mp,3610.513,749.976,1234
bab6.mp,2777.084,2306.488,0
bab6.mp,3601.97,451.834,1
bab6.mp,1019.744,1035.444,12
bab6.mp,654.468,1288.256,123
bab6.mp,632.887,1326.331,1234
bnatt400.mp,188.938,277.854,0
bnatt400.mp,221.842,183.125,1
bnatt400.mp,163.956,280.573,12
bnatt400.mp,217.598,306.583,123
bnatt400.mp,131.458,272.953,1234
bnatt500.mp,431.44,609.094,0
bnatt500.mp,756.739,689.901,1
bnatt500.mp,451.117,751.746,12
bnatt500.mp,630.966,958.508,123
bnatt500.mp,684.034,485.597,1234
brazil3.mp,408.14,218.435,0
brazil3.mp,314.678,84.272,1
brazil3.mp,211.735,372.743,12
brazil3.mp,433.875,171.372,123
brazil3.mp,170.402,329.731,1234
co-100.mp,1999.525,1186.724,0
co-100.mp,2995.421,1134.141,1
co-100.mp,3601.525,1428.557,12
co-100.mp,1094.535,457.458,123
co-100.mp,647.845,318.462,1234
cryptanalysiskb128n5obj14.mp,2780.962,959.843,0
cryptanalysiskb128n5obj14.mp,2543.138,1424.354,1
cryptanalysiskb128n5obj14.mp,3601.458,1111.902,12
cryptanalysiskb128n5obj14.mp,1437.196,1128.772,123
cryptanalysiskb128n5obj14.mp,1194.583,1140.003,1234
cryptanalysiskb128n5obj16.mp,3023.751,1153.627,0
cryptanalysiskb128n5obj16.mp,2768.197,1112.148,1
cryptanalysiskb128n5obj16.mp,2633.261,1188.251,12
cryptanalysiskb128n5obj16.mp,1678.23,883.506,123
cryptanalysiskb128n5obj16.mp,1460.487,2283.126,1234
csched007.mp,118.451,130.123,0
csched007.mp,124.257,128.251,1
csched007.mp,148.489,152.881,12
csched007.mp,131.186,120.836,123
csched007.mp,115.163,113.748,1234
csched008.mp,203.414,214.007,0
csched008.mp,361.818,365.516,1
csched008.mp,392.319,392.225,12
csched008.mp,745.224,99.483,123
csched008.mp,183.834,291.671,1234
decomp2.mp,0.581,0.438,0
decomp2.mp,0.831,0.436,1
decomp2.mp,0.722,0.426,12
decomp2.mp,0.647,0.38,123
decomp2.mp,0.858,0.464,1234
drayage-100-23.mp,0.216,0.203,0
drayage-100-23.mp,0.2,0.188,1
drayage-100-23.mp,0.205,0.188,12
drayage-100-23.mp,0.189,0.18,123
drayage-100-23.mp,0.206,0.188,1234
drayage-25-23.mp,2.791,2.524,0
drayage-25-23.mp,3.873,3.044,1
drayage-25-23.mp,3.011,2.576,12
drayage-25-23.mp,3.25,2.94,123
drayage-25-23.mp,2.867,2.585,1234
dws008-01.mp,2357.7,2275.073,0
dws008-01.mp,2432.983,2540.035,1
dws008-01.mp,3601.927,3186.718,12
dws008-01.mp,3602.305,1955.365,123
dws008-01.mp,2065.815,2128.18,1234
enlight_hard.mp,0.016,0.016,0
enlight_hard.mp,0.016,0.016,1
enlight_hard.mp,0.015,0.015,12
enlight_hard.mp,0.011,0.016,123
enlight_hard.mp,0.012,0.012,1234
fastxgemm-n2r6s0t2.mp,30.015,27.396,0
fastxgemm-n2r6s0t2.mp,36.051,35.189,1
fastxgemm-n2r6s0t2.mp,50.16,49.449,12
fastxgemm-n2r6s0t2.mp,18.187,18.931,123
fastxgemm-n2r6s0t2.mp,22.621,20.924,1234
fhnw-binpack4-4.mp,30.263,18.698,0
fhnw-binpack4-4.mp,25.783,12.399,1
fhnw-binpack4-4.mp,42.82,14.377,12
fhnw-binpack4-4.mp,20.608,15.788,123
fhnw-binpack4-4.mp,22.759,19.485,1234
fhnw-binpack4-48.mp,11.582,29.293,0
fhnw-binpack4-48.mp,11.952,9.583,1
fhnw-binpack4-48.mp,12.446,14.979,12
fhnw-binpack4-48.mp,24.256,7.755,123
fhnw-binpack4-48.mp,15.579,11.645,1234
germanrr.mp,907.308,447.806,0
germanrr.mp,536.311,996.805,1
germanrr.mp,821.049,688.29,12
germanrr.mp,903.217,700.885,123
germanrr.mp,884.715,809.461,1234
gfd-schedulen180f7d50m30k18.mp,1914.959,1931.79,0
gfd-schedulen180f7d50m30k18.mp,2325.474,2307.525,1
gfd-schedulen180f7d50m30k18.mp,3600.425,3600.578,12
gfd-schedulen180f7d50m30k18.mp,3184.006,2769.478,123
gfd-schedulen180f7d50m30k18.mp,1775.806,1350.168,1234
gmu-35-40.mp,488.58,163.616,0
gmu-35-40.mp,180.997,41.337,1
gmu-35-40.mp,383.99,103.87,12
gmu-35-40.mp,73.316,19.641,123
gmu-35-40.mp,77.243,83.09,1234
gmu-35-50.mp,505.445,158.369,0
gmu-35-50.mp,126.28,120.457,1
gmu-35-50.mp,44.743,12.527,12
gmu-35-50.mp,117.452,309.227,123
gmu-35-50.mp,320.237,67.442,1234
highschool1-aigio.mp,1378.328,1446.728,0
highschool1-aigio.mp,1284.018,485.141,1
highschool1-aigio.mp,709.064,1289.603,12
highschool1-aigio.mp,1701.231,951.829,123
highschool1-aigio.mp,313.345,1383.953,1234
hypothyroid-k1.mp,9.777,5.385,0
hypothyroid-k1.mp,10.192,5.38,1
hypothyroid-k1.mp,10.151,5.43,12
hypothyroid-k1.mp,9.811,17.267,123
hypothyroid-k1.mp,9.8,5.25,1234
irish-electricity.mp,1030.522,1316.957,0
irish-electricity.mp,1059.143,1484.122,1
irish-electricity.mp,1108.876,1289.149,12
irish-electricity.mp,1321.327,642.59,123
irish-electricity.mp,1272.273,1558.011,1234
istanbul-no-cutoff.mp,32.979,33.066,0
istanbul-no-cutoff.mp,36.104,39.949,1
istanbul-no-cutoff.mp,39.172,40.021,12
istanbul-no-cutoff.mp,27.522,26.146,123
istanbul-no-cutoff.mp,39.139,37.247,1234
k1mushroom.mp,148.281,130.991,0
k1mushroom.mp,166.188,144.47,1
k1mushroom.mp,162.132,150.251,12
k1mushroom.mp,137.32,137.818,123
k1mushroom.mp,162.21,147.074,1234
lectsched-5-obj.mp,92.274,94.226,0
lectsched-5-obj.mp,123.388,82.542,1
lectsched-5-obj.mp,170.436,87.634,12
lectsched-5-obj.mp,91.901,56.536,123
lectsched-5-obj.mp,125.079,84.629,1234
mcsched.mp,21.795,19.044,0
mcsched.mp,27.332,20.864,1
mcsched.mp,29.275,27.128,12
mcsched.mp,19.408,16.755,123
mcsched.mp,24.182,19.448,1234
mzzv11.mp,11.629,13.356,0
mzzv11.mp,11.479,8.709,1
mzzv11.mp,16.734,8.119,12
mzzv11.mp,10.63,6.511,123
mzzv11.mp,11.597,9.233,1234
mzzv42z.mp,7.744,7.874,0
mzzv42z.mp,6.835,7.15,1
mzzv42z.mp,8.594,8.784,12
mzzv42z.mp,7.699,6.65,123
mzzv42z.mp,7.891,7.227,1234
n2seq36q.mp,3.011,3.492,0
n2seq36q.mp,2.181,3.032,1
n2seq36q.mp,8.257,3.512,12
n2seq36q.mp,2.625,3.321,123
